Title,Price,Manufacturer,Category,Fuel Type,Fiscal Horsepower,Transmission,Mileage,Year,Insertion Date
Mercedes-Benz Classe E 220,59000,Mercedes,Berline,Diesel,9,Manuelle,200000,08.2009,26.02.2024
BMW Série 4 Gran Coupé 418i,105000,BMW,Berline,Essence,7,Automatique,100000,01.2018,26.02.2024
Hyundai Grand i10 High grade,48500,Hyundai,Coupé,Essence,5,Manuelle,50000,09.2022,26.02.2024
Volkswagen Golf 7 comfort line,76000,Volkswagen,Coupé,Essence,6,Manuelle,100000,03.2020,26.02.2024
Seat Ibiza FR BVA,69500,Seat,Compacte,Essence,6,Automatique,125000,08.2020,26.02.2024
Volkswagen Passat Smart Line,78000,Smart,Berline,Essence,7,Manuelle,67000,06.2018,26.02.2024
Land Rover Range Rover Evoque 2.0,210000,Land Rover,SUV/4x4,Hybride diesel,8,Automatique,49000,10.2019,17.02.2024
Mercedes-Benz Sprinter Van,29000,Mercedes,Utilitaire,Diesel,7,Manuelle,351000,05.2006,17.02.2024
Audi A5 Sportback S-line,130000,Audi,Berline,Essence,8,Automatique,90000,01.2020,17.02.2024
Fiat 500 C cabriolet,38000,Fiat,Cabriolet,Essence,6,Automatique,143000,07.2013,26.02.2024
KIA Sportage,85000,KIA,SUV/4x4,Diesel,10,Automatique,308000,08.2017,26.02.2024
Renault Megane,62000,Renault,Citadine,Diesel,5,Manuelle,133000,09.2017,26.02.2024
Volkswagen Golf 7 IQ drive,80000,Volkswagen,Compacte,Essence,5,Manuelle,65000,03.2019,16.02.2024
Citroën C4,28000,Citroën,Compacte,Essence,6,Manuelle,325000,10.2010,16.02.2024
Fiat Fiorino,33000,Fiat,Utilitaire,Diesel,5,Manuelle,86000,08.2020,26.02.2024
KIA Rio Berline,34500,KIA,Berline,Essence,5,Manuelle,174000,08.2013,16.02.2024
Suzuki Swift,48900,Suzuki,Citadine,Essence,5,Manuelle,22000,10.2022,16.02.2024
Mazda 3,63000,Mazda,Berline,Essence,6,Manuelle,46000,12.2018,16.02.2024
KIA Rio 5p,67000,KIA,Coupé,Essence,5,Manuelle,27000,06.2022,16.02.2024
Land Rover Range Rover Evoque,280000,Land Rover,Compacte,Hybride essence,9,Automatique,18000,04.2022,16.02.2024
Mercedes-Benz GLC,149000,Mercedes,SUV/4x4,Diesel,9,Automatique,250000,04.2016,16.02.2024
KIA Picanto GTline,49800,KIA,Citadine,Essence,4,Automatique,60000,09.2021,16.02.2024
Peugeot 2008,42000,Peugeot,SUV/4x4,Essence,5,Manuelle,124000,08.2016,16.02.2024
Peugeot 308,42000,Peugeot,Citadine,Essence,6,Manuelle,140000,11.2019,26.02.2024
Fiat 500,26900,Fiat,Citadine,Essence,4,Manuelle,168000,07.2009,26.02.2024
Dacia Dokker Van,25500,Dacia,Utilitaire,Diesel,6,Manuelle,325000,10.2016,26.02.2024
Peugeot 508 Bva edition limitee,34500,Peugeot,Berline,Essence,7,Automatique,180500,09.2012,16.02.2024
Nissan Qashqai Tekna +,59500,Nissan,SUV/4x4,Essence,6,Automatique,110000,01.2017,16.02.2024
Chery Arrizo 3,32000,Chery,Berline,Essence,6,Manuelle,49653,12.2018,16.02.2024
BMW Série 4 Coupé KIT M,85000,BMW,Coupé,Essence,10,Automatique,190000,07.2015,16.02.2024
Audi A4,37000,Audi,Autres,Essence,7,Automatique,204000,01.2011,16.02.2024
Mercedes-Benz Classe C Bon occasion,42000,Mercedes,Compacte,Diesel,10,Automatique,290000,09.2008,16.02.2024
KIA Rio 5p,34500,KIA,Coupé,Essence,5,Manuelle,158000,12.2012,17.02.2024
Fiat 500X Business,67000,Fiat,SUV/4x4,Essence,8,Automatique,730000,08.2018,16.02.2024
Mercedes-Benz Classe C Avantgarde,99000,Mercedes,Berline,Essence,8,Automatique,111170,04.2016,17.02.2024
Ford Ecosport Trend Line,63000,Ford,SUV/4x4,Essence,7,Manuelle,57000,07.2018,16.02.2024
Ford Focus ecoboost,47000,Ford,Coupé,Essence,6,Manuelle,78000,12.2017,17.02.2024
Jaguar XE R-sport,127000,Jaguar,Berline,Essence,12,Automatique,95000,10.2017,17.02.2024
Renault Megane 4,54000,Renault,Autres,Diesel,5,Manuelle,250000,03.2019,16.02.2024
Volkswagen Golf 7,58000,Volkswagen,Autres,Essence,5,Manuelle,150000,01.2016,24.02.2024
Nissan Qashqai,70000,Nissan,SUV/4x4,Essence,6,Automatique,115000,10.2017,24.02.2024
Nissan Qashqai+2,48000,Nissan,SUV/4x4,Diesel,6,Manuelle,200000,11.2010,24.02.2024
Chery Arrizo 5,40000,Chery,Berline,Essence,7,Manuelle,162000,03.2018,24.02.2024
BMW Série 7,65000,BMW,Berline,Essence,20,Manuelle,160000,01.2008,24.02.2024
Mercedes-Benz Classe A,81000,Mercedes,Citadine,Essence,6,Automatique,84000,01.2019,24.02.2024
Nissan Juke,68000,Nissan,SUV/4x4,Essence,6,Manuelle,120000,10.2017,24.02.2024
Hyundai Grand i10,50000,Hyundai,Citadine,Essence,5,Manuelle,60000,01.2022,24.02.2024
Mercedes-Benz Classe A,125000,Mercedes,Berline,Diesel,6,Automatique,87000,05.2020,24.02.2024
Land Rover Range Rover Evoque,145000,Land Rover,SUV/4x4,Diesel,8,Automatique,160000,10.2017,24.02.2024
Mercedes-Benz Classe A En bonne État,56000,Mercedes,Coupé,Essence,6,Automatique,180000,07.2013,15.02.2024
Nissan Qashqai,58000,Nissan,Citadine,Essence,6,Automatique,167000,12.2015,15.02.2024
Volkswagen Polo 8,55000,Volkswagen,Compacte,Essence,4,Manuelle,58000,06.2021,15.02.2024
Ford Fiesta,39000,Ford,Citadine,Essence,5,Manuelle,48900,10.2017,15.02.2024
Mazda 3,85000,Mazda,Citadine,Essence,6,Automatique,63000,07.2020,15.02.2024
Ssangyong Musso BOITE AUTO,120000,Ssangyong,Pick up,Diesel,7,Automatique,70000,09.2019,15.02.2024
Mercedes-Benz CLA Kit AMG,75000,Mercedes,Berline,Essence,7,Automatique,132000,11.2013,15.02.2024
Jeep Renegade,71500,Jeep,SUV/4x4,Essence,8,Automatique,157000,10.2017,15.02.2024
KIA Rio 5p Gx,57000,KIA,Autres,Essence,5,Manuelle,55000,01.2022,15.02.2024
Citroën DS3,30500,Citroën,Coupé,Essence,5,Manuelle,130000,08.2015,15.02.2024
Land Rover Range Rover Velar R dynamique,310000,Land Rover,Autres,Diesel,19,Automatique,100000,03.2019,15.02.2024
Hyundai Venue,87500,Hyundai,SUV/4x4,Essence,7,Automatique,16350,05.2023,15.02.2024
MG ZS,73000,MG,SUV/4x4,Essence,7,Manuelle,27000,07.2022,26.02.2024
Porsche Cayenne,440000,Porsche,SUV/4x4,Essence,23,Automatique,58000,05.2020,26.02.2024
Toyota Land Cruiser,150000,Toyota,SUV/4x4,Essence,20,Automatique,303000,06.2009,26.02.2024
Mercedes-Benz GLC Coupé,320000,Mercedes,SUV/4x4,Hybride essence,10,Automatique,22000,05.2022,26.02.2024
Volkswagen Golf 7 R,190000,Volkswagen,Autres,Essence,20,Automatique,57000,08.2019,26.02.2024
Volkswagen Tiguan,126000,Volkswagen,SUV/4x4,Essence,8,Automatique,69000,08.2021,26.02.2024
BMW X1,95000,BMW,SUV/4x4,Essence,7,Automatique,80000,09.2017,26.02.2024
Porsche Panamera,185000,Porsche,Berline,Essence,20,Automatique,80000,07.2012,26.02.2024
Volkswagen Golf 7 GTI,130000,Volkswagen,Compacte,Essence,13,Automatique,69000,03.2017,26.02.2024
Porsche Cayenne Coupé,440000,Porsche,SUV/4x4,Essence,25,Automatique,79000,02.2020,26.02.2024
Porsche Cayenne,530000,Porsche,Berline,Essence,23,Automatique,4700,06.2022,26.02.2024
Nissan Qashqai,63000,Nissan,SUV/4x4,Essence,6,Automatique,97000,09.2016,26.02.2024
Citroën DS3,28500,Citroën,Citadine,Essence,5,Manuelle,187000,12.2013,26.02.2024
Dacia Dokker Van,30000,Dacia,Utilitaire,Diesel,6,Manuelle,128000,06.2018,26.02.2024
Seat Arona,72000,Seat,SUV/4x4,Essence,6,Automatique,91000,09.2020,26.02.2024
KIA Sportage,151000,KIA,SUV/4x4,Essence,10,Automatique,3000,08.2022,26.02.2024
Land Rover Range Rover Velar R-DYNAMIC,270000,Land Rover,SUV/4x4,Diesel,11,Automatique,103000,02.2020,26.02.2024
BMW Série 3 Luxury,62500,BMW,Berline,Essence,7,Automatique,170000,08.2013,26.02.2024
Mercedes-Benz GLC AMG,229000,Mercedes,SUV/4x4,Hybride essence,12,Automatique,70000,10.2019,26.02.2024
KIA Sportage gt-line AWD,110000,KIA,SUV/4x4,Essence,11,Automatique,70000,04.2020,26.02.2024
Volkswagen Tiguan confortline,138000,Volkswagen,SUV/4x4,Essence,8,Automatique,33000,09.2020,26.02.2024
KIA Sportage GDI,80000,KIA,SUV/4x4,Essence,8,Automatique,220000,01.2018,24.02.2024
Audi A3 Sportback,55000,Audi,Autres,Essence,10,Manuelle,150000,06.2015,24.02.2024
BMW Série 7,145000,BMW,Autres,Essence,23,Automatique,126000,10.2010,24.02.2024
Mini 3 portes,57000,Mini,Autres,Essence,5,Manuelle,90000,09.2015,24.02.2024
Mitsubishi L200 Simple Cabine,100000,Mitsubishi,Autres,Essence,10,Manuelle,49000,03.2020,24.02.2024
Lada 4x4,55000,Lada,Autres,Essence,7,Manuelle,55000,03.2020,24.02.2024
Jeep Compass,127000,Jeep,Autres,Essence,8,Manuelle,36000,03.2021,24.02.2024
Land Rover Defender 110,75000,Land Rover,Autres,Diesel,8,Manuelle,190000,11.2006,24.02.2024
Mercedes-Benz GLA AMG,189000,Mercedes,SUV/4x4,Hybride rechargeable essence,6,Automatique,52000,12.2020,26.02.2024
Volkswagen Jetta,48000,Volkswagen,Autres,Essence,8,Manuelle,140000,04.2013,24.02.2024
BMW Série 5,60000,BMW,Autres,Essence,11,Manuelle,143000,06.2007,24.02.2024
Peugeot 207,34000,Peugeot,Autres,Essence,6,Automatique,75000,06.2010,24.02.2024
Land Rover Range Rover Evoque,125000,Land Rover,Autres,Diesel,11,Automatique,180000,01.2012,24.02.2024
BMW Série 3 KIT M performance,245000,BMW,Berline,Essence,10,Automatique,28000,06.2020,26.02.2024
Seat Ibiza,47900,Seat,Coupé,Essence,4,Manuelle,98000,08.2021,26.02.2024
Audi RS Q3,440000,Audi,SUV/4x4,Essence,29,Automatique,30000,11.2022,26.02.2024
Land Rover Range Rover Velar P250,385000,Land Rover,SUV/4x4,Essence,15,Automatique,2000,08.2023,26.02.2024
Haval H6 9cv,77000,Haval,SUV/4x4,Essence,9,Automatique,108000,11.2019,26.02.2024
Seat Leon FR,112000,Seat,Berline,Essence,8,Automatique,6500,01.2023,26.02.2024
Land Rover Range Rover Sport,130000,Land Rover,Autres,Diesel,13,Automatique,174000,06.2008,24.02.2024
BMW Série 4 Gran Coupé ///M PERFORMANCE LIMITED EDITION,149000,BMW,Coupé,Essence,10,Automatique,119000,04.2016,26.02.2024
Land Rover Discovery Sport,145000,Land Rover,SUV/4x4,Essence,15,Automatique,115000,11.2014,26.02.2024
Land Rover Range Rover Sport autobiography P400e,445000,Land Rover,SUV/4x4,Hybride essence,17,Automatique,40000,05.2020,26.02.2024
Peugeot 208,31500,Peugeot,Citadine,Essence,4,Manuelle,109000,08.2019,26.02.2024
Volkswagen Passat,109000,Volkswagen,Berline,Essence,7,Manuelle,63000,11.2018,26.02.2024
BMW Série 4 Coupé,86000,BMW,Coupé,Essence,10,Automatique,151000,07.2014,26.02.2024
KIA Rio 5p,67500,KIA,Citadine,Essence,5,Manuelle,27000,04.2022,26.02.2024
Porsche Cayenne,78000,Porsche,SUV/4x4,Essence,30,Automatique,212000,09.2009,26.02.2024
Volkswagen T-roc,91500,Volkswagen,SUV/4x4,Essence,6,Manuelle,52000,10.2020,26.02.2024
KIA Rio 5p,67000,KIA,Citadine,Essence,5,Manuelle,68000,12.2021,26.02.2024
Volkswagen Golf 7,59000,Volkswagen,Citadine,Essence,6,Automatique,178000,04.2019,26.02.2024
Volkswagen Golf 7,52000,Volkswagen,Citadine,Essence,5,Manuelle,191000,04.2015,26.02.2024
Mercedes-Benz GLA 250e kit AMG,195000,Mercedes,SUV/4x4,Hybride essence,6,Automatique,46000,01.2021,23.02.2024
Nissan Navara toute option,55000,Nissan,SUV/4x4,Diesel,8,Manuelle,248000,07.2010,23.02.2024
Porsche Cayenne e-hybrid,480000,Porsche,SUV/4x4,Hybride rechargeable essence,21,Automatique,19000,06.2022,23.02.2024
Mercedes-Benz GLA 250𝙚 Hybrid,195000,Mercedes,Autres,Hybride rechargeable essence,11,Automatique,13000,10.2021,23.02.2024
Mercedes-Benz Classe C coupé C180 Kit Amg,138000,Mercedes,Coupé,Essence,8,Automatique,122000,07.2016,23.02.2024
Nissan Qashqai toute option,147000,Nissan,SUV/4x4,Hybride essence,6,Automatique,22000,05.2022,23.02.2024
Nissan Juke N-DESIGN,95000,Nissan,SUV/4x4,Essence,6,Automatique,40000,01.2021,23.02.2024
KIA Sportage,98500,KIA,SUV/4x4,Diesel,7,Automatique,118000,09.2019,23.02.2024
BMW Série 3 cabriolet,78000,BMW,Coupé,Essence,9,Automatique,111000,04.2013,23.02.2024
Ssangyong Tivoli 4 cylindres,59000,Ssangyong,SUV/4x4,Essence,7,Automatique,38000,11.2015,23.02.2024
Audi A4,23000,Audi,Berline,Diesel,7,Manuelle,600000,12.1999,23.02.2024
Seat Ibiza FR,68000,Seat,Citadine,Essence,6,Manuelle,107000,07.2020,23.02.2024
Volkswagen Golf 7 Join Importée Tn240,83500,Volkswagen,Citadine,Essence,5,Manuelle,63000,05.2019,26.02.2024
Chevrolet Aveo,22500,Chevrolet,Berline,Essence,5,Manuelle,228000,02.2011,26.02.2024
Mazda 2 Exclusive,43000,Mazda,Citadine,Essence,6,Automatique,135000,12.2016,26.02.2024
KIA Sportage GT LINE 2L DIESEL,129900,KIA,SUV/4x4,Hybride diesel,11,Automatique,45000,12.2019,26.02.2024
KIA Sportage GT LINE 2L DIESEL,134500,KIA,SUV/4x4,Hybride diesel,11,Automatique,45000,10.2019,26.02.2024
KIA Sportage GT LINE 2L DIESEL,136000,KIA,SUV/4x4,Hybride diesel,11,Automatique,65000,08.2020,26.02.2024
KIA Picanto Gt line,47000,KIA,Citadine,Essence,5,Automatique,55000,06.2018,26.02.2024
Alfa Romeo Mito,55000,Alfa Romeo,Coupé,Essence,5,Manuelle,42000,07.2019,26.02.2024
Ford Fiesta Titanium,33000,Ford,Compacte,Essence,5,Manuelle,212000,11.2014,26.02.2024
KIA Sportage,98000,KIA,SUV/4x4,Diesel,10,Automatique,162000,09.2016,26.02.2024
Seat Leon,39000,Seat,Citadine,Essence,5,Manuelle,177000,04.2014,26.02.2024
Nissan Navara,49500,Nissan,Pick up,Diesel,10,Manuelle,257000,09.2013,26.02.2024
BMW Série 5,88500,BMW,Berline,Essence,10,Manuelle,183000,02.2015,26.02.2024
Hyundai Grand i10,72500,Hyundai,Citadine,Essence,5,Automatique,25000,11.2022,26.02.2024
Audi Q7,60000,Audi,SUV/4x4,Diesel,16,Automatique,249000,06.2006,26.02.2024
Ford Fiesta,36900,Ford,Citadine,Essence,5,Manuelle,97000,05.2017,26.02.2024
Volkswagen Tiguan,145000,Volkswagen,SUV/4x4,Essence,9,Automatique,54000,06.2021,26.02.2024
Mahindra KUV 100,36900,Mahindra,SUV/4x4,Essence,5,Manuelle,53000,08.2021,26.02.2024
Ford Ranger,55000,Ford,Pick up,Diesel,7,Manuelle,248000,07.2014,26.02.2024
Hyundai Tucson,168000,Hyundai,SUV/4x4,Hybride diesel,7,Automatique,28000,10.2021,26.02.2024
Peugeot 208,45500,Peugeot,Citadine,Diesel,4,Manuelle,136000,10.2018,26.02.2024
Dacia Dokker Van,35000,Dacia,Utilitaire,Diesel,6,Manuelle,69000,12.2018,26.02.2024
Suzuki Vitara,67000,Suzuki,SUV/4x4,Essence,6,Manuelle,53000,12.2018,26.02.2024
Nissan Micra,33500,Nissan,Citadine,Essence,5,Manuelle,123000,08.2019,26.02.2024
Hyundai Tucson Hybride,168000,Hyundai,SUV/4x4,Diesel,7,Automatique,28000,10.2021,26.02.2024
Audi A4,47500,Audi,Berline,Essence,7,Automatique,146000,11.2013,26.02.2024
Peugeot Partner,63555,Peugeot,Utilitaire,Diesel,5,Manuelle,37000,03.2023,26.02.2024
Volkswagen Golf 8,109500,Volkswagen,Citadine,Essence,6,Manuelle,20000,02.2021,26.02.2024
Renault Kadjar,78000,Renault,SUV/4x4,Essence,7,Automatique,85000,02.2021,26.02.2024
Peugeot 208,30500,Peugeot,Citadine,Essence,5,Manuelle,97000,04.2016,26.02.2024
Mercedes-Benz ML,45000,Mercedes,SUV/4x4,Diesel,15,Automatique,266000,07.2006,26.02.2024
KIA Sportage,85000,KIA,SUV/4x4,Essence,8,Automatique,101000,07.2018,26.02.2024
Mercedes-Benz Classe A 250e AMG,168000,Mercedes,Compacte,Hybride rechargeable essence,6,Automatique,46000,02.2021,23.02.2024
Land Rover Range Rover Sport P400e,340000,Land Rover,SUV/4x4,Hybride essence,17,Automatique,80000,01.2020,23.02.2024
MG 6 toute option,83500,MG,Berline,Essence,9,Automatique,30000,01.2022,23.02.2024
Porsche Panamera toute option,168000,Porsche,Berline,Essence,20,Automatique,54000,01.2011,23.02.2024
Volkswagen Golf 7 CUP,57000,Volkswagen,Compacte,Diesel,5,Manuelle,233000,01.2015,23.02.2024
BMW Série 4 Gran Coupé KIT M,118000,BMW,Coupé,Essence,7,Automatique,84000,06.2017,23.02.2024
Land Rover Discovery Sport toute option,153000,Land Rover,SUV/4x4,Diesel,16,Automatique,103000,08.2014,23.02.2024
Audi Q3,103000,Audi,Autres,Essence,8,Automatique,66000,11.2017,23.02.2024
Mercedes-Benz CLA 180,148000,Mercedes,Autres,Essence,7,Automatique,70000,06.2019,23.02.2024
BMW Série 3 318i,79000,BMW,Autres,Essence,7,Automatique,130000,10.2016,23.02.2024
Mercedes-Benz Classe C 180,98000,Mercedes,Berline,Essence,8,Automatique,185000,09.2016,23.02.2024
Mercedes-Benz Classe C 200 Kit AMG,248000,Mercedes,Berline,Hybride essence,12,Automatique,15000,06.2022,23.02.2024
Volkswagen Golf 6,38000,Volkswagen,Citadine,Essence,7,Automatique,158000,09.2011,26.02.2024
Mercedes-Benz Classe E,83500,Mercedes,Berline,Diesel,7,Automatique,225000,08.2013,26.02.2024
Toyota Aygo,32900,Toyota,Citadine,Essence,4,Manuelle,90000,06.2017,26.02.2024
Land Rover Range Rover Sport,340000,Land Rover,SUV/4x4,Essence,17,Automatique,82000,06.2019,26.02.2024
Mazda BT-50,62000,Mazda,Pick up,Diesel,9,Manuelle,203000,12.2014,26.02.2024
Haval H6,85000,Haval,SUV/4x4,Essence,9,Automatique,52000,09.2020,26.02.2024
Foton Forland,64000,Foton,Autres,Diesel,10,Manuelle,35000,04.2016,26.02.2024
BMW Série 3 318i Luxury package,85000,BMW,Citadine,Essence,7,Automatique,170000,06.2017,26.02.2024
Mercedes-Benz Classe C Pack AMG,205000,Mercedes,Berline,Hybride essence,9,Automatique,40000,08.2022,26.02.2024
KIA Sportage GT-line Hybride,119000,KIA,SUV/4x4,Diesel,6,Automatique,120000,09.2021,26.02.2024
KIA Sportage GT_LINE,119000,KIA,SUV/4x4,Hybride rechargeable diesel,6,Automatique,120000,09.2021,26.02.2024
Volkswagen Polo 8 Ambition,50000,Volkswagen,Citadine,Essence,4,Manuelle,70000,09.2021,26.02.2024
Mercedes-Benz Classe C coupé Kit Amg Pack night,179000,Mercedes,Coupé,Essence,9,Automatique,40000,09.2019,26.02.2024
Peugeot 2008 GT_LINE,92000,Peugeot,SUV/4x4,Essence,7,Manuelle,30000,07.2021,26.02.2024
Audi Q2,93000,Audi,SUV/4x4,Essence,8,Automatique,30000,10.2019,26.02.2024
Hyundai Grand i10,53000,Hyundai,Citadine,Essence,5,Manuelle,30000,08.2022,26.02.2024
Seat Leon FR,122800,Seat,Citadine,Essence,8,Automatique,70000,01.2022,26.02.2024
Hyundai Kona,79000,Hyundai,SUV/4x4,Hybride essence,6,Manuelle,30000,10.2021,26.02.2024
Volkswagen Golf 5 Tout option,31500,Volkswagen,Berline,Diesel,6,Manuelle,206000,11.2005,23.02.2024
Tata Xenon X2 Simple Cabine Comme neuf,31000,TATA,Utilitaire,Diesel,7,Manuelle,64000,05.2017,23.02.2024
Peugeot 508,39200,Peugeot,Berline,Essence,7,Automatique,230000,01.2014,23.02.2024
MG ZS toute option,55000,MG,SUV/4x4,Essence,7,Manuelle,95000,06.2019,23.02.2024
BMW X5 toute option KIT M,295000,BMW,SUV/4x4,Diesel,14,Automatique,104000,05.2020,23.02.2024
Ford Puma Hybrid,95000,Ford,Autres,Hybride essence,6,Manuelle,10000,08.2020,23.02.2024
Ford Puma toute option,118000,Ford,SUV/4x4,Hybride essence,8,Automatique,11000,06.2022,23.02.2024
BMW Série 4 Gran Coupé luxury,112000,BMW,Coupé,Essence,7,Automatique,100000,05.2016,23.02.2024
Nissan Qashqai TEKNA PLUS,82000,Nissan,SUV/4x4,Essence,6,Automatique,63000,06.2018,23.02.2024
Jeep Wrangler toute option,108000,Jeep,SUV/4x4,Essence,14,Automatique,189000,08.2009,23.02.2024
Fiat 500X toute option,69000,Fiat,SUV/4x4,Essence,7,Automatique,87000,05.2018,23.02.2024
Volkswagen Golf 8 GTI,238000,Volkswagen,Autres,Essence,19,Automatique,31000,07.2021,23.02.2024
Haval Jolion,89500,Haval,SUV/4x4,Essence,9,Automatique,25000,07.2021,26.02.2024
Honda City,57000,Honda,Berline,Essence,7,Automatique,53000,12.2020,26.02.2024
KIA Sportage,145000,KIA,SUV/4x4,Essence,8,Automatique,23000,09.2022,26.02.2024
Mercedes-Benz GLA Pack AMG,113000,Mercedes,SUV/4x4,Essence,8,Automatique,74000,01.2016,26.02.2024
Seat Ateca xperience,112000,Seat,SUV/4x4,Essence,8,Automatique,60000,04.2022,26.02.2024
KIA Sportage,90000,KIA,SUV/4x4,Essence,8,Automatique,95000,10.2019,26.02.2024
Nissan Qashqai,43000,Nissan,SUV/4x4,Essence,9,Automatique,148000,07.2011,26.02.2024
BMW Série 5 520i Facelift,89000,BMW,Berline,Essence,11,Automatique,220000,01.2016,26.02.2024
Volkswagen T-roc,85000,Volkswagen,SUV/4x4,Essence,6,Automatique,87000,01.2020,26.02.2024
Seat Ibiza FR 1.6,67000,Seat,SUV/4x4,Essence,6,Manuelle,50000,08.2020,26.02.2024
Honda City,35000,Honda,Berline,Essence,7,Manuelle,146000,04.2017,26.02.2024
Audi A5 Sportback 2.0,43500,Audi,Berline,Essence,10,Automatique,200000,09.2010,26.02.2024
DFSK Glory 580,80000,DFSK,SUV/4x4,Essence,8,Manuelle,59000,07.2022,26.02.2024
Infiniti FX,52000,Infiniti,SUV/4x4,Essence,20,Automatique,190000,09.2008,26.02.2024
Ford Focus sedan,24900,Ford,Berline,Essence,6,Manuelle,431000,09.2010,26.02.2024
BMW X5,69500,BMW,SUV/4x4,Essence,19,Automatique,189000,10.2010,26.02.2024
BMW Série 4 Gran Coupé,100000,BMW,Berline,Essence,7,Automatique,94000,10.2017,26.02.2024
Dongfeng SX3,64500,Dongfeng,SUV/4x4,Essence,8,Manuelle,81000,07.2021,26.02.2024
Porsche Cayenne,72000,Porsche,SUV/4x4,Essence,21,Automatique,203000,09.2008,26.02.2024
Peugeot Landtrek Double Cabine,91500,Peugeot,Pick up,Diesel,6,Manuelle,26000,12.2022,26.02.2024
BMW Série 5,260000,BMW,Berline,Diesel,10,Automatique,33000,06.2022,26.02.2024
Citroën Jumper,67000,Citroën,Pick up,Diesel,9,Manuelle,183000,09.2019,26.02.2024
KIA Sorento,60000,KIA,SUV/4x4,Diesel,12,Automatique,210000,09.2012,26.02.2024
KIA Sportage,79000,KIA,SUV/4x4,Essence,8,Automatique,176000,12.2016,26.02.2024
Haval H6,78000,Haval,SUV/4x4,Essence,9,Automatique,130000,04.2019,26.02.2024
Mitsubishi ASX,100000,Mitsubishi,Citadine,Essence,9,Automatique,61000,12.2020,26.02.2024
BMW Série 3,67900,BMW,Berline,Essence,7,Manuelle,166000,12.2015,26.02.2024
BMW Série 4 Coupé,109500,BMW,Berline,Essence,7,Automatique,109000,05.2019,26.02.2024
Mini 3 portes,46500,Mini,Citadine,Essence,4,Manuelle,144000,11.2015,26.02.2024
Seat Leon,54000,Seat,Citadine,Essence,6,Automatique,121000,06.2014,26.02.2024
Citroën C5,26500,Citroën,Berline,Essence,9,Manuelle,260000,02.2011,26.02.2024
MG ZS,72000,MG,SUV/4x4,Essence,7,Automatique,79000,12.2020,26.02.2024
Nissan Micra,29900,Nissan,Citadine,Essence,5,Manuelle,37000,05.2014,26.02.2024
BMW Série 1,32900,BMW,Citadine,Essence,7,Manuelle,179000,12.2008,26.02.2024
Opel Corsa,29000,Opel,Citadine,Essence,5,Manuelle,70000,12.2010,26.02.2024
Volkswagen Golf 7,52000,Volkswagen,Citadine,Diesel,5,Manuelle,170000,04.2013,26.02.2024
Mercedes-Benz CLA,93000,Mercedes,Coupé,Essence,7,Automatique,102000,05.2016,26.02.2024
Nissan Qashqai,56000,Nissan,SUV/4x4,Essence,6,Manuelle,143000,10.2014,26.02.2024
KIA Rio 5p,61000,KIA,Citadine,Essence,5,Manuelle,30000,03.2021,26.02.2024
KIA Rio 5p,67900,KIA,Citadine,Essence,5,Manuelle,33000,12.2021,26.02.2024
KIA Sportage,115000,KIA,SUV/4x4,Diesel,10,Automatique,126000,01.2018,26.02.2024
Haval H6,79000,Haval,SUV/4x4,Essence,9,Automatique,106000,09.2019,26.02.2024
BMW Série 5,60000,BMW,Autres,Diesel,12,Automatique,193000,06.2008,26.02.2024
Cupra Formentor,190000,Cupra,SUV/4x4,Essence,11,Automatique,0,11.2023,26.02.2024
Volvo S60 R Design,46000,Volvo,Berline,Essence,9,Automatique,170000,08.2012,26.02.2024
Citroën C4,39000,Citroën,Citadine,Essence,6,Manuelle,126000,02.2018,26.02.2024
KIA Rio 5p,67000,KIA,Citadine,Essence,5,Manuelle,68000,12.2021,26.02.2024
Fiat 500 Version Canadienne 1.4,37500,Fiat,Coupé,Essence,6,Automatique,132000,06.2013,26.02.2024
BMW Série 1,62000,BMW,Citadine,Essence,5,Manuelle,158000,02.2017,26.02.2024
Mahindra KUV 100 K8,33500,Mahindra,SUV/4x4,Essence,5,Manuelle,89000,02.2020,26.02.2024
Fiat Fiorino,39500,Fiat,Monospace,Diesel,5,Manuelle,58000,10.2020,26.02.2024
Hyundai Grand i10 Sedan Premiere main,52000,Hyundai,Berline,Essence,5,Manuelle,28000,01.2023,26.02.2024
Honda Brio Premiere main,33500,Honda,Citadine,Essence,5,Manuelle,62000,10.2018,26.02.2024
Volkswagen Polo TDI importée,58500,Volkswagen,Citadine,Diesel,5,Manuelle,112000,02.2020,26.02.2024
Mercedes-Benz Classe E,64500,Mercedes,Berline,Diesel,9,Automatique,233000,08.2009,26.02.2024
Jaguar XF,185000,Jaguar,Berline,Essence,16,Automatique,38000,09.2018,26.02.2024
BMW Série 4 Gran Coupé,139500,BMW,Berline,Essence,7,Automatique,46000,01.2021,26.02.2024
Citroën DS4,39500,Citroën,Citadine,Essence,9,Automatique,139000,10.2013,26.02.2024
BMW Série 3,74000,BMW,Berline,Essence,7,Automatique,201000,12.2014,26.02.2024
Citroën C4,32000,Citroën,Citadine,Essence,6,Manuelle,194000,07.2012,26.02.2024
KIA Sportage,53900,KIA,SUV/4x4,Essence,11,Automatique,175000,06.2014,26.02.2024
Mazda CX-9,135000,Mazda,SUV/4x4,Essence,15,Automatique,63000,12.2017,26.02.2024
Chery Tiggo 3,55000,Chery,SUV/4x4,Essence,8,Manuelle,60000,09.2019,26.02.2024
